# Region type : patch bottomWall
# Faces       : 50000
# Area        : 4.800000e+01
# Scale factor: 1.000000e+00
# Time        	areaAverage(yPlus)
250.025       	4.124751e-01
250.05        	4.124775e-01
250.075       	4.124778e-01
250.1         	4.124772e-01
250.125       	4.124762e-01
250.15        	4.124844e-01
250.175       	4.124945e-01
250.2         	4.125079e-01
250.225       	4.125265e-01
250.25        	4.125505e-01
250.275       	4.125749e-01
250.3         	4.126005e-01
250.325       	4.126279e-01
250.35        	4.126576e-01
250.375       	4.126867e-01
250.4         	4.127172e-01
250.425       	4.127508e-01
250.45        	4.127863e-01
250.475       	4.128194e-01
250.5         	4.128544e-01
250.525       	4.128851e-01
250.55        	4.129127e-01
250.575       	4.129411e-01
250.6         	4.129655e-01
250.625       	4.129850e-01
250.65        	4.130030e-01
250.675       	4.130202e-01
250.7         	4.130370e-01
250.725       	4.130536e-01
250.75        	4.130713e-01
250.775       	4.130918e-01
250.8         	4.131160e-01
250.825       	4.131418e-01
250.85        	4.131704e-01
250.875       	4.132018e-01
250.9         	4.132347e-01
250.925       	4.132708e-01
250.95        	4.133076e-01
250.975       	4.133479e-01
251           	4.133916e-01
251.025       	4.134377e-01
251.05        	4.134841e-01
251.075       	4.135333e-01
251.1         	4.135873e-01
251.125       	4.136375e-01
251.15        	4.136866e-01
251.175       	4.137366e-01
251.2         	4.137832e-01
251.225       	4.138291e-01
251.25        	4.138716e-01
251.275       	4.139099e-01
251.3         	4.139470e-01
251.325       	4.139811e-01
251.35        	4.140107e-01
251.375       	4.140370e-01
251.4         	4.140606e-01
251.425       	4.140800e-01
251.45        	4.140969e-01
251.475       	4.141089e-01
251.5         	4.141176e-01
251.525       	4.141235e-01
251.55        	4.141252e-01
251.575       	4.141238e-01
251.6         	4.141225e-01
251.625       	4.141194e-01
251.65        	4.141146e-01
251.675       	4.141085e-01
251.7         	4.141058e-01
251.725       	4.141014e-01
251.75        	4.140998e-01
251.775       	4.140968e-01
251.8         	4.140894e-01
251.825       	4.140846e-01
251.85        	4.140819e-01
251.875       	4.140784e-01
251.9         	4.140750e-01
251.925       	4.140718e-01
251.95        	4.140691e-01
251.975       	4.140665e-01
252           	4.140631e-01
252.025       	4.140602e-01
252.05        	4.140580e-01
252.075       	4.140557e-01
252.1         	4.140527e-01
252.125       	4.140514e-01
252.15        	4.140486e-01
252.175       	4.140461e-01
252.2         	4.140422e-01
252.225       	4.140336e-01
252.25        	4.140229e-01
252.275       	4.140104e-01
252.3         	4.139963e-01
252.325       	4.139784e-01
252.35        	4.139599e-01
252.375       	4.139406e-01
252.4         	4.139207e-01
252.425       	4.138995e-01
252.45        	4.138808e-01
252.475       	4.138623e-01
252.5         	4.138445e-01
252.525       	4.138302e-01
252.55        	4.138164e-01
252.575       	4.138054e-01
252.6         	4.137990e-01
252.625       	4.137926e-01
252.65        	4.137903e-01
252.675       	4.137908e-01
252.7         	4.137959e-01
252.725       	4.138015e-01
252.75        	4.138076e-01
252.775       	4.138168e-01
252.8         	4.138264e-01
252.825       	4.138350e-01
252.85        	4.138433e-01
252.875       	4.138513e-01
252.9         	4.138583e-01
252.925       	4.138649e-01
252.95        	4.138700e-01
252.975       	4.138756e-01
253           	4.138818e-01
253.025       	4.138864e-01
253.05        	4.138937e-01
253.075       	4.138997e-01
253.1         	4.139089e-01
253.125       	4.139215e-01
253.15        	4.139343e-01
253.175       	4.139543e-01
253.2         	4.139746e-01
253.225       	4.139967e-01
253.25        	4.140237e-01
253.275       	4.140487e-01
253.3         	4.140699e-01
253.325       	4.140931e-01
253.35        	4.141123e-01
253.375       	4.141282e-01
253.4         	4.141439e-01
253.425       	4.141608e-01
253.45        	4.141790e-01
253.475       	4.141973e-01
253.5         	4.142233e-01
253.525       	4.142526e-01
253.55        	4.142845e-01
253.575       	4.143190e-01
253.6         	4.143574e-01
253.625       	4.143980e-01
253.65        	4.144355e-01
253.675       	4.144725e-01
253.7         	4.145101e-01
253.725       	4.145424e-01
253.75        	4.145696e-01
253.775       	4.145960e-01
253.8         	4.146160e-01
253.825       	4.146271e-01
253.85        	4.146357e-01
253.875       	4.146368e-01
253.9         	4.146308e-01
253.925       	4.146188e-01
253.95        	4.146008e-01
253.975       	4.145759e-01
254           	4.145448e-01
254.025       	4.145091e-01
254.05        	4.144674e-01
254.075       	4.144178e-01
254.1         	4.143652e-01
254.125       	4.143104e-01
254.15        	4.142516e-01
254.175       	4.141908e-01
254.2         	4.141280e-01
254.225       	4.140649e-01
254.25        	4.140089e-01
254.275       	4.139518e-01
