# Region type : patch bottomWall
# Faces       : 50000
# Area        : 4.800000e+01
# Scale factor: 1.000000e+00
# Time        	areaAverage(yPlus)
0.025         	9.154483e-01
0.05          	7.914853e-01
0.075         	7.281241e-01
0.1           	6.867556e-01
0.125         	6.565489e-01
0.15          	6.330035e-01
0.175         	6.138513e-01
0.2           	5.977980e-01
0.225         	5.840391e-01
0.25          	5.720435e-01
0.275         	5.614431e-01
0.3           	5.519737e-01
0.325         	5.434394e-01
0.35          	5.356911e-01
0.375         	5.286130e-01
0.4           	5.221138e-01
0.425         	5.161195e-01
0.45          	5.105704e-01
0.475         	5.054167e-01
0.5           	5.006171e-01
0.525         	4.961367e-01
0.55          	4.919459e-01
0.575         	4.880194e-01
0.6           	4.843355e-01
0.625         	4.808746e-01
0.65          	4.776215e-01
0.675         	4.745620e-01
0.7           	4.716842e-01
0.725         	4.689776e-01
0.75          	4.664334e-01
0.775         	4.640435e-01
0.8           	4.618013e-01
0.825         	4.597014e-01
0.85          	4.577381e-01
0.875         	4.559082e-01
0.9           	4.542068e-01
0.925         	4.526322e-01
0.95          	4.511813e-01
0.975         	4.498525e-01
1             	4.486447e-01
1.025         	4.475567e-01
1.05          	4.465885e-01
1.075         	4.457405e-01
1.1           	4.450123e-01
1.125         	4.444053e-01
1.15          	4.439199e-01
1.175         	4.435572e-01
1.2           	4.433174e-01
1.225         	4.432010e-01
1.25          	4.432071e-01
1.275         	4.433345e-01
1.3           	4.435806e-01
1.325         	4.439418e-01
1.35          	4.444130e-01
1.375         	4.449874e-01
1.4           	4.456563e-01
1.425         	4.464104e-01
1.45          	4.472378e-01
1.475         	4.481256e-01
1.5           	4.490600e-01
1.525         	4.500273e-01
1.55          	4.510142e-01
1.575         	4.520043e-01
1.6           	4.529831e-01
1.625         	4.539372e-01
1.65          	4.548562e-01
1.675         	4.557301e-01
1.7           	4.565485e-01
1.725         	4.573081e-01
1.75          	4.580102e-01
1.775         	4.586597e-01
1.8           	4.592707e-01
1.825         	4.598634e-01
1.85          	4.604611e-01
1.875         	4.610869e-01
1.9           	4.617533e-01
1.925         	4.624678e-01
1.95          	4.632250e-01
1.975         	4.640173e-01
2             	4.648284e-01
2.025         	4.656358e-01
2.05          	4.664274e-01
2.075         	4.671915e-01
2.1           	4.679142e-01
2.125         	4.685847e-01
2.15          	4.691919e-01
2.175         	4.697366e-01
2.2           	4.702172e-01
2.225         	4.706322e-01
2.25          	4.709835e-01
2.275         	4.712721e-01
2.3           	4.715002e-01
