# Region type : patch bottomWall
# Faces       : 200000
# Area        : 4.800000e+01
# Scale factor: 1.000000e+00
# Time        	areaAverage(yPlus)
0.02121023    	4.617507e-01
0.05300845    	3.880178e-01
0.08520243    	3.532356e-01
0.1173789     	3.315187e-01
0.1495322     	3.160464e-01
0.1809192     	3.044262e-01
0.2114115     	2.952841e-01
0.2417274     	2.876713e-01
0.2722475     	2.811109e-01
0.3032654     	2.753160e-01
0.3349492     	2.701137e-01
0.3667305     	2.654832e-01
0.3974411     	2.614704e-01
0.427154      	2.579518e-01
0.4562296     	2.548062e-01
0.4849856     	2.519478e-01
0.513416      	2.493404e-01
0.5415875     	2.469485e-01
0.5693485     	2.447600e-01
0.5967485     	2.427492e-01
0.6241846     	2.408718e-01
0.6510422     	2.391561e-01
0.6772614     	2.375890e-01
0.7029387     	2.361510e-01
0.7281664     	2.348255e-01
0.7530117     	2.336002e-01
0.7775494     	2.324644e-01
0.8018483     	2.314091e-01
0.8259508     	2.304280e-01
0.8494329     	2.295328e-01
0.8722262     	2.287195e-01
0.8944315     	2.279788e-01
0.916116      	2.273037e-01
0.937335      	2.266887e-01
0.9581014     	2.261301e-01
0.9785375     	2.256222e-01
0.9986951     	2.251618e-01
1.018593      	2.247470e-01
1.038277      	2.243755e-01
1.057864      	2.240446e-01
1.077353      	2.237540e-01
1.096786      	2.235028e-01
1.116074      	2.232920e-01
1.135153      	2.231212e-01
1.154055      	2.229891e-01
1.172829      	2.228944e-01
1.191503      	2.228358e-01
1.210107      	2.228124e-01
1.228674      	2.228230e-01
1.247231      	2.228661e-01
1.265788      	2.229404e-01
1.284346      	2.230439e-01
1.302911      	2.231743e-01
1.32137       	2.233279e-01
1.339296      	2.234970e-01
1.356375      	2.236732e-01
1.372706      	2.238527e-01
1.388395      	2.240327e-01
1.403531      	2.242110e-01
1.418166      	2.243857e-01
1.432354      	2.245551e-01
1.446169      	2.247185e-01
1.459592      	2.248745e-01
1.472763      	2.250232e-01
1.48566       	2.251642e-01
1.498415      	2.252976e-01
1.510989      	2.254233e-01
1.523503      	2.255415e-01
1.535913      	2.256520e-01
1.548333      	2.257552e-01
1.560707      	2.258512e-01
1.573147      	2.259403e-01
1.585605      	2.260225e-01
1.598159      	2.260985e-01
1.610804      	2.261682e-01
1.623543      	2.262326e-01
1.636438      	2.262917e-01
1.649447      	2.263464e-01
1.662633      	2.263974e-01
1.675993      	2.264455e-01
1.689503      	2.264917e-01
1.703056      	2.265368e-01
1.716526      	2.265814e-01
1.729871      	2.266260e-01
1.743103      	2.266720e-01
1.756263      	2.267207e-01
1.76928       	2.267735e-01
1.782258      	2.268311e-01
1.795086      	2.268945e-01
1.807886      	2.269649e-01
1.820551      	2.270421e-01
1.833184      	2.271273e-01
1.845706      	2.272199e-01
1.858192      	2.273207e-01
1.8706        	2.274289e-01
1.882926      	2.275445e-01
1.895019      	2.276658e-01
1.906793      	2.277900e-01
1.918422      	2.279190e-01
1.92975       	2.280502e-01
1.941021      	2.281858e-01
1.952023      	2.283232e-01
1.963019      	2.284641e-01
1.973806      	2.286068e-01
1.984606      	2.287527e-01
1.995296      	2.289011e-01
2.005984      	2.290525e-01
2.016666      	2.292065e-01
2.027328      	2.293625e-01
2.038013      	2.295210e-01
2.048688      	2.296807e-01
2.059403      	2.298423e-01
2.070145      	2.300054e-01
2.080928      	2.301698e-01
2.091774      	2.303357e-01
2.102655      	2.305026e-01
2.113614      	2.306709e-01
2.12448       	2.308387e-01
2.135422      	2.310076e-01
2.1463        	2.311772e-01
2.157195      	2.313479e-01
2.167963      	2.315190e-01
2.17867       	2.316911e-01
2.189155      	2.318621e-01
2.199622      	2.320345e-01
2.209921      	2.322065e-01
2.220188      	2.323793e-01
2.230405      	2.325530e-01
2.240538      	2.327260e-01
2.250756      	2.329007e-01
2.260881      	2.330737e-01
2.271162      	2.332482e-01
2.281424      	2.334212e-01
2.291571      	2.335907e-01
2.301578      	2.337555e-01
2.310846      	2.339066e-01
2.31971       	2.340479e-01
2.328595      	2.341863e-01
2.337068      	2.343182e-01
2.345006      	2.344394e-01
2.352685      	2.345543e-01
2.36034       	2.346660e-01
2.367995      	2.347757e-01
2.375264      	2.348802e-01
2.382318      	2.349792e-01
2.389326      	2.350746e-01
2.396446      	2.351688e-01
2.403696      	2.352655e-01
2.410799      	2.353592e-01
2.41791       	2.354501e-01
2.4252        	2.355402e-01
2.432725      	2.356339e-01
2.440229      	2.357259e-01
2.447681      	2.358149e-01
2.455045      	2.359005e-01
2.462335      	2.359844e-01
2.469631      	2.360658e-01
2.476924      	2.361455e-01
2.484247      	2.362233e-01
2.49166       	2.363004e-01
2.499133      	2.363761e-01
2.506498      	2.364485e-01
