# Region type : patch bottomWall
# Faces       : 800000
# Area        : 4.800000e+01
# Scale factor: 1.000000e+00
# Time        	areaAverage(yPlus)
0.00267081    	7.861358e-01
0.006074362   	6.204057e-01
0.01302707    	5.204051e-01
0.02640324    	4.482265e-01
0.041658      	4.084250e-01
0.05692411    	3.834848e-01
0.07229658    	3.655077e-01
0.08783568    	3.515420e-01
0.1034877     	3.402292e-01
0.1192974     	3.307435e-01
0.1352206     	3.226252e-01
0.1509033     	3.156966e-01
0.1662663     	3.097136e-01
0.1815441     	3.043991e-01
0.196919      	2.995767e-01
0.21255       	2.951255e-01
0.2278598     	2.911394e-01
0.2428348     	2.875472e-01
0.2576104     	2.842609e-01
0.27228       	2.812209e-01
0.2869388     	2.783794e-01
0.3016783     	2.756984e-01
0.3166054     	2.731448e-01
0.3318179     	2.706928e-01
0.3473332     	2.683334e-01
0.3628877     	2.660982e-01
0.3784968     	2.639745e-01
0.3941886     	2.619496e-01
0.4099858     	2.600137e-01
0.4259057     	2.581585e-01
0.4418879     	2.563855e-01
0.4578656     	2.546963e-01
0.4738365     	2.530852e-01
0.4898029     	2.515467e-01
0.5057626     	2.500766e-01
0.5217177     	2.486703e-01
0.537666      	2.473245e-01
0.5536075     	2.460356e-01
0.5695443     	2.448003e-01
0.5854766     	2.436160e-01
0.601402      	2.424802e-01
0.6173205     	2.413906e-01
0.6332136     	2.403461e-01
0.6489896     	2.393504e-01
0.6645981     	2.384038e-01
0.6800508     	2.375029e-01
0.6953503     	2.366452e-01
0.7104756     	2.358294e-01
0.7254301     	2.350533e-01
0.740221      	2.343144e-01
0.7548575     	2.336105e-01
0.7693461     	2.329398e-01
0.7836951     	2.323003e-01
0.7979163     	2.316903e-01
0.8120192     	2.311083e-01
0.8260239     	2.305523e-01
0.8399317     	2.300215e-01
0.8537031     	2.295165e-01
0.8673351     	2.290365e-01
0.8808335     	2.285804e-01
0.8942057     	2.281471e-01
0.9074725     	2.277355e-01
0.9206436     	2.273446e-01
0.9336967     	2.269745e-01
0.9466517     	2.266242e-01
0.9595244     	2.262927e-01
0.9723269     	2.259796e-01
0.9850775     	2.256841e-01
0.9977894     	2.254057e-01
1.010477      	2.251439e-01
1.023158      	2.248985e-01
1.035846      	2.246691e-01
1.048531      	2.244560e-01
1.061204      	2.242594e-01
1.073875      	2.240790e-01
1.086563      	2.239147e-01
1.099276      	2.237664e-01
1.112021      	2.236343e-01
1.124818      	2.235181e-01
1.137578      	2.234186e-01
1.150245      	2.233359e-01
1.162812      	2.232695e-01
1.175281      	2.232189e-01
1.187654      	2.231833e-01
1.199917      	2.231622e-01
1.212018      	2.231548e-01
1.223962      	2.231602e-01
1.235756      	2.231774e-01
1.247403      	2.232056e-01
1.258913      	2.232437e-01
1.270293      	2.232910e-01
1.28155       	2.233466e-01
1.292696      	2.234095e-01
1.303741      	2.234791e-01
1.314691      	2.235546e-01
1.325553      	2.236351e-01
1.336339      	2.237201e-01
1.347063      	2.238089e-01
1.357739      	2.239009e-01
1.36837       	2.239955e-01
1.378971      	2.240921e-01
1.389565      	2.241905e-01
1.400156      	2.242900e-01
1.410752      	2.243902e-01
1.42135       	2.244906e-01
1.431931      	2.245905e-01
1.442507      	2.246897e-01
1.453096      	2.247878e-01
1.463706      	2.248848e-01
1.474345      	2.249802e-01
1.485004      	2.250739e-01
1.495658      	2.251652e-01
1.506288      	2.252539e-01
1.516857      	2.253396e-01
1.527363      	2.254221e-01
1.537814      	2.255016e-01
1.548214      	2.255781e-01
1.558571      	2.256518e-01
1.568897      	2.257227e-01
1.579193      	2.257911e-01
1.589469      	2.258571e-01
1.599726      	2.259208e-01
1.609948      	2.259823e-01
1.620148      	2.260418e-01
1.630339      	2.260998e-01
1.640536      	2.261565e-01
1.650753      	2.262122e-01
1.661003      	2.262673e-01
1.671288      	2.263221e-01
1.681618      	2.263769e-01
1.69197       	2.264319e-01
1.702332      	2.264874e-01
1.712703      	2.265438e-01
1.723088      	2.266014e-01
1.733476      	2.266606e-01
1.743857      	2.267216e-01
1.754245      	2.267848e-01
1.764656      	2.268507e-01
1.7751        	2.269197e-01
1.785569      	2.269919e-01
1.796061      	2.270678e-01
1.80658       	2.271473e-01
1.817036      	2.272302e-01
1.82725       	2.273149e-01
1.837235      	2.274014e-01
1.846997      	2.274897e-01
1.856561      	2.275800e-01
1.865936      	2.276724e-01
1.875065      	2.277661e-01
1.883943      	2.278608e-01
1.892594      	2.279567e-01
1.901063      	2.280541e-01
1.909325      	2.281527e-01
1.917377      	2.282520e-01
1.925248      	2.283524e-01
1.932975      	2.284540e-01
1.940575      	2.285571e-01
1.948073      	2.286617e-01
1.955451      	2.287675e-01
1.962724      	2.288745e-01
1.969916      	2.289829e-01
1.976974      	2.290919e-01
1.983923      	2.292017e-01
1.990783      	2.293123e-01
1.997586      	2.294244e-01
2.004356      	2.295381e-01
2.011114      	2.296538e-01
2.017836      	2.297711e-01
2.024494      	2.298893e-01
2.031114      	2.300088e-01
2.037703      	2.301295e-01
2.04427       	2.302515e-01
2.050823      	2.303749e-01
2.057377      	2.304999e-01
2.063942      	2.306266e-01
2.070526      	2.307552e-01
2.077056      	2.308842e-01
2.083544      	2.310136e-01
2.090003      	2.311436e-01
2.096449      	2.312747e-01
2.102909      	2.314072e-01
2.109396      	2.315415e-01
2.115883      	2.316769e-01
2.122346      	2.318128e-01
2.12881       	2.319498e-01
2.135277      	2.320878e-01
2.141761      	2.322270e-01
2.148278      	2.323677e-01
2.154849      	2.325104e-01
2.161488      	2.326551e-01
2.168136      	2.328008e-01
2.174735      	2.329458e-01
2.181301      	2.330906e-01
2.187873      	2.332359e-01
2.194482      	2.333824e-01
2.201155      	2.335306e-01
2.207905      	2.336808e-01
2.214657      	2.338312e-01
2.221407      	2.339817e-01
2.228174      	2.341327e-01
2.23498       	2.342845e-01
2.241841      	2.344376e-01
2.248763      	2.345920e-01
2.255745      	2.347476e-01
2.26269       	2.349021e-01
2.269601      	2.350554e-01
2.276504      	2.352080e-01
2.283425      	2.353606e-01
2.290395      	2.355132e-01
2.297411      	2.356658e-01
2.304414      	2.358166e-01
2.311411      	2.359658e-01
2.318417      	2.361133e-01
2.325448      	2.362595e-01
2.33251       	2.364043e-01
2.339575      	2.365472e-01
2.346658      	2.366886e-01
2.353777      	2.368289e-01
2.360935      	2.369680e-01
2.368085      	2.371053e-01
2.375198      	2.372400e-01
2.382294      	2.373725e-01
2.389385      	2.375029e-01
2.396508      	2.376320e-01
2.403689      	2.377597e-01
2.410864      	2.378847e-01
2.418023      	2.380072e-01
2.425191      	2.381268e-01
2.432379      	2.382440e-01
2.439561      	2.383583e-01
2.446744      	2.384692e-01
2.453952      	2.385778e-01
2.461194      	2.386837e-01
2.468432      	2.387869e-01
2.475684      	2.388873e-01
2.482982      	2.389857e-01
2.490185      	2.390802e-01
2.497096      	2.391680e-01
2.503834      	2.392511e-01
2.510366      	2.393292e-01
2.516678      	2.394023e-01
2.522907      	2.394724e-01
2.529059      	2.395391e-01
2.535196      	2.396036e-01
2.541288      	2.396658e-01
2.54734       	2.397254e-01
2.553369      	2.397826e-01
2.559365      	2.398376e-01
2.565453      	2.398915e-01
2.57174       	2.399451e-01
2.578083      	2.399969e-01
2.584358      	2.400459e-01
2.59063       	2.400926e-01
2.596781      	2.401362e-01
2.602897      	2.401775e-01
2.609062      	2.402172e-01
2.61517       	2.402546e-01
2.621317      	2.402902e-01
2.627434      	2.403238e-01
2.633408      	2.403547e-01
2.639222      	2.403828e-01
2.645024      	2.404091e-01
2.650843      	2.404340e-01
2.656627      	2.404571e-01
2.66252       	2.404790e-01
2.668569      	2.405001e-01
2.674726      	2.405200e-01
2.680715      	2.405377e-01
2.686457      	2.405530e-01
2.692023      	2.405663e-01
2.697482      	2.405783e-01
2.702776      	2.405889e-01
2.707868      	2.405978e-01
2.712813      	2.406057e-01
2.71766       	2.406126e-01
2.72246       	2.406187e-01
2.727271      	2.406240e-01
2.732087      	2.406287e-01
2.736748      	2.406325e-01
2.741291      	2.406356e-01
2.745758      	2.406379e-01
2.750156      	2.406397e-01
2.754418      	2.406408e-01
2.758587      	2.406414e-01
2.762702      	2.406414e-01
2.766799      	2.406411e-01
2.770908      	2.406403e-01
2.775069      	2.406390e-01
2.779325      	2.406375e-01
2.78363       	2.406353e-01
2.787849      	2.406329e-01
2.792015      	2.406299e-01
2.796169      	2.406265e-01
2.800353      	2.406228e-01
2.804535      	2.406187e-01
2.808687      	2.406141e-01
2.812838      	2.406091e-01
2.817018      	2.406037e-01
2.821262      	2.405977e-01
2.825616      	2.405911e-01
2.830126      	2.405839e-01
2.834645      	2.405760e-01
2.839157      	2.405674e-01
2.843714      	2.405580e-01
2.848372      	2.405476e-01
2.853066      	2.405363e-01
2.857753      	2.405239e-01
2.862476      	2.405104e-01
2.867284      	2.404956e-01
2.872242      	2.404791e-01
2.87739       	2.404607e-01
2.88256       	2.404408e-01
2.887786      	2.404190e-01
2.893152      	2.403948e-01
2.89872       	2.403679e-01
2.904274      	2.403391e-01
2.909872      	2.403075e-01
2.915637      	2.402731e-01
2.921433      	2.402362e-01
2.92709       	2.401977e-01
2.932661      	2.401576e-01
2.938187      	2.401155e-01
2.943638      	2.400718e-01
2.948947      	2.400276e-01
2.954158      	2.399821e-01
2.959313      	2.399352e-01
2.964442      	2.398871e-01
2.969445      	2.398387e-01
2.974349      	2.397896e-01
2.979224      	2.397396e-01
2.984125      	2.396880e-01
2.989103      	2.396345e-01
2.994088      	2.395800e-01
2.999053      	2.395245e-01
3.003932      	2.394691e-01
3.00877       	2.394137e-01
3.013632      	2.393572e-01
3.018471      	2.393003e-01
3.023209      	2.392444e-01
3.027969      	2.391880e-01
3.032849      	2.391302e-01
3.03785       	2.390716e-01
3.042757      	2.390137e-01
3.047573      	2.389572e-01
3.052333      	2.389021e-01
3.057066      	2.388475e-01
3.061788      	2.387937e-01
3.06649       	2.387408e-01
3.071153      	2.386885e-01
3.075766      	2.386376e-01
3.080331      	2.385877e-01
3.084875      	2.385387e-01
3.089298      	2.384915e-01
3.093635      	2.384457e-01
3.097925      	2.384007e-01
3.102184      	2.383565e-01
3.106419      	2.383129e-01
3.110634      	2.382700e-01
3.114848      	2.382275e-01
3.119093      	2.381852e-01
3.123287      	2.381438e-01
3.127417      	2.381031e-01
3.131513      	2.380630e-01
3.135597      	2.380236e-01
3.139689      	2.379844e-01
3.14382       	2.379452e-01
3.148023      	2.379056e-01
3.152346      	2.378652e-01
3.156655      	2.378252e-01
3.160881      	2.377861e-01
3.165055      	2.377479e-01
3.169205      	2.377106e-01
3.173363      	2.376733e-01
3.177545      	2.376361e-01
3.181738      	2.375993e-01
3.186006      	2.375622e-01
3.190366      	2.375250e-01
3.194686      	2.374887e-01
3.199023      	2.374531e-01
3.203447      	2.374174e-01
3.207861      	2.373823e-01
3.21223       	2.373486e-01
3.216599      	2.373154e-01
3.221025      	2.372826e-01
3.225579      	2.372497e-01
3.230198      	2.372176e-01
3.234858      	2.371864e-01
3.239485      	2.371563e-01
3.244041      	2.371276e-01
3.248596      	2.371001e-01
3.253231      	2.370735e-01
3.258036      	2.370471e-01
3.262926      	2.370218e-01
3.267881      	2.369978e-01
3.272944      	2.369747e-01
3.278035      	2.369530e-01
3.283188      	2.369332e-01
3.288447      	2.369147e-01
3.293662      	2.368983e-01
3.299029      	2.368831e-01
3.304341      	2.368697e-01
3.309648      	2.368584e-01
3.315125      	2.368487e-01
3.320541      	2.368410e-01
3.326044      	2.368348e-01
3.331475      	2.368308e-01
3.336831      	2.368286e-01
3.342064      	2.368288e-01
3.347131      	2.368315e-01
3.352169      	2.368363e-01
3.357154      	2.368431e-01
3.362031      	2.368517e-01
3.366984      	2.368622e-01
3.371886      	2.368741e-01
3.376814      	2.368875e-01
3.381922      	2.369030e-01
3.387031      	2.369197e-01
3.392339      	2.369384e-01
3.397646      	2.369581e-01
3.402974      	2.369784e-01
3.408297      	2.369999e-01
3.413502      	2.370219e-01
3.418682      	2.370439e-01
3.423877      	2.370663e-01
3.428921      	2.370883e-01
3.433983      	2.371104e-01
3.43898       	2.371322e-01
3.443908      	2.371537e-01
3.448886      	2.371753e-01
3.453761      	2.371963e-01
3.458663      	2.372175e-01
3.463546      	2.372386e-01
3.468378      	2.372589e-01
3.473272      	2.372795e-01
3.478094      	2.372999e-01
3.482944      	2.373200e-01
3.487797      	2.373397e-01
3.492601      	2.373591e-01
3.497479      	2.373791e-01
3.502299      	2.373987e-01
3.507127      	2.374179e-01
3.51205       	2.374376e-01
3.516923      	2.374570e-01
3.521854      	2.374769e-01
3.526847      	2.374966e-01
3.531936      	2.375169e-01
3.537078      	2.375375e-01
3.542144      	2.375580e-01
3.547204      	2.375783e-01
3.552171      	2.375982e-01
3.557071      	2.376181e-01
3.561955      	2.376379e-01
3.566672      	2.376576e-01
3.571384      	2.376773e-01
3.576138      	2.376978e-01
3.580786      	2.377177e-01
3.585457      	2.377382e-01
3.590263      	2.377598e-01
3.595037      	2.377813e-01
3.599893      	2.378033e-01
